product_id,name,brand,category,subcategory,price,description,tags
P0063,Nest Learning Thermostat,Google,Home,Smart Home,249,Smart thermostat auto-schedule energy saving,smart home climate automation
P0064,Amazon Echo Dot 5,Amazon,Home,Smart Home,49,Compact smart speaker Alexa built-in,smart home assistant budget
P0065,Arlo Pro 4,Arlo,Home,Smart Home,199,Wireless security camera 2K HDR,smart home security outdoor
P0066,Casper Original Mattress,Casper,Home,Bedroom,1095,Memory foam mattress in a box queen size,sleep comfort bedroom
P0067,Purple Harmony Pillow,Purple,Home,Bedroom,179,Gel grid pillow temperature neutral,sleep comfort premium
P0068,Brooklinen Luxe Sheet Set,Brooklinen,Home,Bedroom,169,480 thread count cotton sheets,sleep comfort premium
P0069,Weighted Blanket 15lb,YnM,Home,Bedroom,59,Cooling weighted blanket for anxiety,sleep relaxation budget
P0070,Tempur-Pedic Neck Pillow,Tempur-Pedic,Home,Bedroom,129,Ergonomic memory foam pillow,sleep support comfort
P0071,Optimum Nutrition Gold Standard,Optimum Nutrition,Health,Supplements,62,Whey protein powder 24g protein,fitness protein muscle
P0072,Creatine Monohydrate,Thorne,Health,Supplements,32,Pure creatine powder for strength,fitness strength muscle
P0073,Vitamin D3 5000IU,Nature Made,Health,Supplements,15,Vitamin D supplement bone health,health vitamin budget
P0074,Fish Oil Omega-3,Nordic Naturals,Health,Supplements,27,High potency omega-3 supplement,health heart brain
P0075,Multivitamin for Men,Garden of Life,Health,Supplements,44,Whole food multivitamin organic,health vitamin daily
P0076,Theragun Prime,Therabody,Health,Fitness,299,Percussion massage device muscle recovery,fitness recovery massage
P0077,Yoga Mat Premium,Manduka,Health,Fitness,89,Professional yoga mat 6mm thick,yoga fitness premium
P0078,Resistance Bands Set,Fit Simplify,Health,Fitness,19,5 loop bands varying resistance,fitness home workout budget
P0079,Adjustable Dumbbells,Bowflex,Health,Fitness,399,SelectTech adjustable 5-52.5 lbs,fitness strength home
P0080,Foam Roller,TriggerPoint,Health,Fitness,39,High density foam roller recovery,fitness recovery budget
P0081,Organic Avocados 6pk,Whole Foods,Food,Fresh,8,Organic Hass avocados ripe,organic healthy fresh
P0082,Grass-Fed Ground Beef,Butcher Box,Food,Fresh,12,100% grass-fed beef 1lb,organic protein quality
P0083,Organic Eggs Free Range,Vital Farms,Food,Fresh,9,Pasture-raised eggs dozen,organic protein breakfast
P0084,Organic Baby Spinach,Earthbound,Food,Fresh,5,Pre-washed organic spinach 5oz,organic healthy salad
P0085,Wild Caught Salmon,Wild Alaskan,Food,Fresh,24,Sockeye salmon fillet 1lb,protein healthy omega
P0086,Coca-Cola Classic 12pk,Coca-Cola,Food,Beverages,7,Classic cola 12oz cans,beverage classic popular
P0087,Red Bull Energy 4pk,Red Bull,Food,Beverages,10,Energy drink original flavor,energy beverage popular
P0088,Liquid Death Water 12pk,Liquid Death,Food,Beverages,18,Mountain water aluminum cans,water trendy sustainable
P0089,Oatly Oat Milk,Oatly,Food,Beverages,5,Oat milk barista edition,dairy-free plant vegan
P0090,Athletic Greens AG1,Athletic Greens,Food,Beverages,99,Greens powder daily supplement,health supplement premium
P0091,KIND Bars Variety 12pk,KIND,Food,Snacks,18,Nut bars healthy snacking,healthy snack protein
P0092,RXBar Protein 12pk,RXBar,Food,Snacks,29,Clean protein bars no BS,protein healthy clean
P0093,Hippeas Chickpea Puffs,Hippeas,Food,Snacks,4,Organic chickpea snacks,organic vegan healthy
P0094,Justin's Almond Butter,Justin's,Food,Snacks,12,Organic almond butter squeeze packs,organic protein healthy
P0095,Siete Tortilla Chips,Siete,Food,Snacks,6,Grain-free tortilla chips,grain-free healthy paleo
P0096,LEGO Star Wars Set,LEGO,Toys,Building,159,Millennium Falcon building set 1351 pieces,building creative kids
P0097,Barbie Dreamhouse,Barbie,Toys,Dolls,199,3-story dollhouse with accessories,dolls imaginative kids
P0098,Hot Wheels Track Set,Hot Wheels,Toys,Vehicles,49,Ultimate garage playset,cars racing kids
P0099,Nintendo Pokemon Cards,Pokemon,Toys,Games,25,Booster pack trading cards,collectible gaming popular
P0100,Monopoly Classic,Hasbro,Toys,Games,24,Classic board game family night,board game family classic
